Countries,Region
Burundi ,Africa Eastern and Southern
Comoros ,Africa Eastern and Southern
Djibouti ,Africa Eastern and Southern
Eritrea ,Africa Eastern and Southern
Ethiopia ,Africa Eastern and Southern
Kenya ,Africa Eastern and Southern
Madagascar ,Africa Eastern and Southern
Malawi ,Africa Eastern and Southern
Mauritius   ,Africa Eastern and Southern
Mozambique    ,Africa Eastern and Southern
Réunion   ,Africa Eastern and Southern
Rwanda   ,Africa Eastern and Southern
Seychelles                     ,Africa Eastern and Southern
Somalia ,Africa Eastern and Southern
Uganda ,Africa Eastern and Southern
Tanzania ,Africa Eastern and Southern
Zambia ,Africa Eastern and Southern
Zimbabwe ,Africa Eastern and Southern
Botswana ,Africa Eastern and Southern
Lesotho ,Africa Eastern and Southern
Namibia ,Africa Eastern and Southern
South Africa ,Africa Eastern and Southern
Swaziland ,Africa Eastern and Southern
Benin ,Africa Western and Central
Burkina Faso ,Africa Western and Central
Cape Verde ,Africa Western and Central
Cote d'Ivoire ,Africa Western and Central
Gambia ,Africa Western and Central
Ghana ,Africa Western and Central
Guinea ,Africa Western and Central
Guinea-Bissau ,Africa Western and Central
Liberia ,Africa Western and Central
Mali ,Africa Western and Central
Mauritania ,Africa Western and Central
Niger ,Africa Western and Central
Nigeria ,Africa Western and Central
St. Helena ,Africa Western and Central
Senegal ,Africa Western and Central
Sierra Leone ,Africa Western and Central
Togo ,Africa Western and Central
Angola ,Africa Western and Central
Cameroon ,Africa Western and Central
Central African Republic ,Africa Western and Central
Chad ,Africa Western and Central
Congo ,Africa Western and Central
Equatorial Guinea ,Africa Western and Central
Gabon ,Africa Western and Central
Sao Tome and Principe ,Africa Western and Central
Anguilla ,Latin America & Caribbean
Antigua and Barbuda ,Latin America & Caribbean
Aruba ,Latin America & Caribbean
Bahamas ,Latin America & Caribbean
Belize ,Latin America & Caribbean
Costa Rica ,Latin America & Caribbean
El Salvador ,Latin America & Caribbean
Guatemala ,Latin America & Caribbean
Argentina ,Latin America & Caribbean
Bolivia ,Latin America & Caribbean
Brazil ,Latin America & Caribbean
Chile ,Latin America & Caribbean
Barbados ,Latin America & Caribbean
British Virgin Islands ,Latin America & Caribbean
Cayman Islands ,Latin America & Caribbean
Cuba ,Latin America & Caribbean
Dominica ,Latin America & Caribbean
Dominican Republic ,Latin America & Caribbean
Grenada ,Latin America & Caribbean
Guadeloupe ,Latin America & Caribbean
Haiti ,Latin America & Caribbean
Jamaica ,Latin America & Caribbean
Martinique ,Latin America & Caribbean
Montserrat ,Latin America & Caribbean
Netherlands Antilles ,Latin America & Caribbean
Puerto Rico ,Latin America & Caribbean
Saint Kitts and Nevis ,Latin America & Caribbean
Saint Lucia ,Latin America & Caribbean
Saint Vincent and the Grenadines ,Latin America & Caribbean
Trinidad and Tobago ,Latin America & Caribbean
Turks and Caicos Islands ,Latin America & Caribbean
United States Virgin Islands ,Latin America & Caribbean
Honduras ,Latin America & Caribbean
Mexico ,Latin America & Caribbean
Nicaragua ,Latin America & Caribbean
Panama ,Latin America & Caribbean
Argentina ,Latin America & Caribbean
Bolivia ,Latin America & Caribbean
Brazil ,Latin America & Caribbean
Chile ,Latin America & Caribbean
Colombia ,Latin America & Caribbean
Ecuador ,Latin America & Caribbean
Falkland Islands (Malvinas) ,Latin America & Caribbean
French Guiana ,Latin America & Caribbean
Guyana ,Latin America & Caribbean
Paraguay ,Latin America & Caribbean
Peru ,Latin America & Caribbean
Suriname ,Latin America & Caribbean
Uruguay ,Latin America & Caribbean
Venezuela ,Latin America & Caribbean
Bermuda ,North America
Canada ,North America
Greenland ,North America
St. Pierre and Miquelon ,North America
United States,North America
Belgium,European Union
Bulgaria,European Union
Czechia,European Union
Denmark,European Union
Germany,European Union
Estonia,European Union
Ireland,European Union
Greece,European Union
Spain,European Union
France,European Union
Croatia,European Union
Italy,European Union
Cyprus,European Union
Latvia,European Union
Lithuania,European Union
Luxembourg,European Union
Hungary,European Union
Malta,European Union
Netherlands,European Union
Austria,European Union
Poland,European Union
Portugal,European Union
Romania,European Union
Slovenia,European Union
Slovakia,European Union
Finland,European Union
Sweden,European Union
United Kingdom,European Union
American Samoa ,East Asia & Pacific
Australia ,East Asia & Pacific
Brunei Darussalam ,East Asia & Pacific
Cambodia ,East Asia & Pacific
China ,East Asia & Pacific
Hong Kong,East Asia & Pacific
Macao,East Asia & Pacific
South Korea ,East Asia & Pacific
Timor ,East Asia & Pacific
Fiji ,East Asia & Pacific
French Polynesia ,East Asia & Pacific
Guam ,East Asia & Pacific
Indonesia ,East Asia & Pacific
Japan ,East Asia & Pacific
Kiribati ,East Asia & Pacific
Lao People’s ,East Asia & Pacific
Malaysia ,East Asia & Pacific
Marshall Islands ,East Asia & Pacific
Micronesia (country),East Asia & Pacific
Mongolia ,East Asia & Pacific
Myanmar ,East Asia & Pacific
Nauru ,East Asia & Pacific
New Caledonia ,East Asia & Pacific
New Zealand ,East Asia & Pacific
Northern Mariana Islands ,East Asia & Pacific
Palau ,East Asia & Pacific
Papua New Guinea ,East Asia & Pacific
Philippines ,East Asia & Pacific
North Korea ,East Asia & Pacific
Samoa ,East Asia & Pacific
Singapore ,East Asia & Pacific
Solomon Islands ,East Asia & Pacific
Thailand ,East Asia & Pacific
Tonga ,East Asia & Pacific
Tuvalu ,East Asia & Pacific
Vanuatu ,East Asia & Pacific
Vietnam ,East Asia & Pacific
Afghanistan ,South Asia
Bangladesh ,South Asia
Bhutan ,South Asia
India ,South Asia
Maldives ,South Asia
Nepal ,South Asia
Pakistan ,South Asia
Sri Lanka ,South Asia
